"FriendlyName","InstanceId"
"USB-Root-Hub (USB 3.0)","USB\ROOT_HUB30\4&1C276126&0&0"
"USB-Root-Hub (USB 3.0)","USB\ROOT_HUB30\5&8B581DF&0&0"
"USB-Root-Hub (USB 3.0)","USB\ROOT_HUB30\7&146DC797&0&0"
"USB-Eingabeger?t","USB\VID_046A&PID_0023&MI_00\7&37FFF728&0&0000"
"USB-Eingabeger?t","USB\VID_046A&PID_0023&MI_01\7&37FFF728&0&0001"
"USB-Verbundger?t","USB\VID_046A&PID_0023\6&8E1FCB7&0&1"
"USB-Eingabeger?t","USB\VID_046D&PID_C050\6&8E1FCB7&0&2"
"Integrated Camera","USB\VID_04F2&PID_B681&MI_00\6&2AE55746&0&0000"
"Integrated IR Camera","USB\VID_04F2&PID_B681&MI_02\6&2AE55746&0&0002"
"USB-Verbundger?t","USB\VID_04F2&PID_B681\6926"
"Alcor Micro USB Smart Card Reader","USB\VID_058F&PID_9540\5&36AA5F6F&0&11"
"Generischer USB-Hub","USB\VID_05E3&PID_0606\5&36AA5F6F&0&6"
"Generischer USB-Hub","USB\VID_05E3&PID_0610\5&36AA5F6F&0&1"
"Generischer Hochgeschwindigkeits-USB-Hub (SuperSpeed)","USB\VID_05E3&PID_0626\5&36AA5F6F&0&17"
"Synaptics WBDI - SGX","USB\VID_06CB&PID_009A\1167B407E400"
"USB Type-C Digital AV Adapter","USB\VID_343C&PID_0000\000000000000"
"USB Type-C Digital AV Adapter","USB\VID_343C&PID_0000\5&36AA5F6F&0&4"
"Intel(R) Wireless Bluetooth(R)","USB\VID_8087&PID_0029\5&36AA5F6F&0&14"
